Majority protein IDs,Gene names,ME-180,ME180C13,59M,A2780,A2780CP70,Caov-3,COV318,DOV13,HEYA8,IGROV-1,IGROV1CP,IOSE397,IOSE7576,JHOS-2,JHOS-5,KURAMOCHI,OVCA433,OVCAR-3,OVCAR-5,OVISE,OVKATE,OVSAHO,PEO1,PEO4,SKOV3IP1,SNU119,TOV-112D,TOV112DR,TYK-nu,TYKNUCP
Q9Y294,ASF1A,26.36003,26.90116,27.91906,24.09875,26.93753,26.71957,26.64911,26.21353,27.50945,26.47845,26.88797,26.61569,26.46011,26.55119,27.12819,26.57615,26.11961,25.81299,26.92988,25.81448,25.40269,25.5934,26.38362,28.13207,26.79141,26.1994,26.69418,27.61905,24.62078,27.21743
Q15072,ZNF146,24.71684,23.35299,23.86533,24.362,24.9271,NaN,24.71072,24.18919,23.48738,23.08252,24.22766,24.18107,23.99981,23.72286,23.55368,23.13583,NaN,NaN,NaN,24.48634,NaN,NaN,24.06009,23.90947,24.43778,23.47494,24.03498,23.81431,23.71712,24.4438
O43765;K7EMD6,SGTA,29.03514,29.1541,29.08548,30.38113,30.21269,28.34786,29.45505,29.48501,29.73467,29.0567,29.49684,29.80313,29.65162,29.16973,29.14598,29.10831,28.89718,29.16101,28.82872,28.6335,29.69941,29.33494,29.68732,28.31821,29.86868,28.72338,29.41052,29.91271,29.37613,29.24266
O15126,SCAMP1,28.68197,27.86302,28.23187,29.59774,29.06469,28.98905,27.70167,28.94369,28.44158,28.09517,28.35901,28.46287,28.65072,28.25273,27.22766,28.03454,28.41808,28.6071,29.09582,29.05528,28.55841,28.04109,29.37042,28.36561,29.03842,25.42451,28.72149,28.51803,28.90813,28.91872
Q86YH6,PDSS2,25.23852,25.00971,23.11431,24.93026,24.58772,24.39133,24.15143,23.73934,24.65715,24.1425,24.00582,23.88989,NaN,24.0456,24.39904,24.34785,23.06093,NaN,26.13189,24.74914,23.16803,25.04527,NaN,NaN,24.30375,25.34479,24.96983,27.06702,NaN,24.1272
Q9H0J9,PARP12,25.19625,23.5451,27.15788,25.58549,26.18773,26.98609,26.77718,26.58032,26.08333,25.70506,25.44111,25.29351,26.38303,25.18514,26.4091,28.16672,27.90982,25.51608,26.82929,25.24572,25.41038,25.59503,28.29785,26.07983,26.8642,23.35958,23.86524,25.12514,25.7544,23.77595
P0CW19;P0CW20,LIMS3;LIMS3L,NaN,NaN,28.87044,NaN,26.92298,24.96142,24.46905,27.50105,27.75022,NaN,NaN,NaN,26.97136,24.21571,NaN,29.11768,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,22.61506,NaN,NaN,NaN,NaN
P01130;J3KMZ9,LDLR,27.00078,28.20429,26.5452,29.32341,28.0055,27.50506,27.05061,26.95082,27.11892,28.70127,29.03784,26.65622,27.927,23.59537,26.5218,24.87774,29.15538,26.50739,26.61737,25.14752,27.02041,27.33731,28.18584,26.52891,26.40237,26.76926,28.0801,27.59099,27.8305,27.11971
P07305,H1F0,30.54904,30.65591,30.0296,29.96678,30.57154,32.25895,31.09226,29.20275,28.29185,27.62352,27.60795,30.32956,30.24014,31.46607,30.9859,30.34372,30.08967,30.98685,30.81031,29.50391,31.80862,27.90913,31.00276,30.68896,26.17034,30.44372,30.86482,31.54481,31.39213,30.66653
Q5QJE6;J3KP30,DNTTIP2,28.88469,28.18608,28.38463,29.55355,29.33909,29.47733,28.27737,28.87649,29.64122,28.61786,28.73134,28.87903,29.0206,28.60184,28.52242,28.20046,28.331,28.65663,29.07475,29.02128,27.97602,28.30717,29.38397,28.53066,28.35544,28.23813,29.14399,28.78425,29.10534,29.47278
Q9GZY4;C9JA07,COA1,27.29765,25.66002,25.88639,NaN,25.03263,27.44869,26.11283,26.75913,24.70867,25.24169,25.21037,25.97967,24.34257,26.22602,26.57025,24.70483,NaN,25.61897,27.46723,26.10833,26.27723,25.14612,23.59854,26.77472,24.71555,25.55438,24.83713,25.40451,26.82651,25.43355
Q9UQN3;A0A087WW88;C9J0A7,CHMP2B,27.83111,28.29281,27.30878,28.18097,28.50817,28.32479,26.46775,27.75748,27.37493,27.7986,27.89614,28.36716,27.75047,26.29228,27.09999,26.44446,26.36766,27.79743,27.12701,27.28154,28.04229,27.12761,28.42826,28.7869,26.93157,25.22582,27.48255,26.38755,27.72286,27.75449
Q9BZI7,UPF3B,27.37931,26.51865,27.40308,28.07842,27.78868,27.41094,27.74118,26.96058,26.77342,26.98859,26.79811,27.43651,27.32002,27.29404,26.53411,26.2138,25.49271,27.14287,26.38169,26.51964,26.97498,28.12475,26.14701,26.38515,27.3176,27.50696,27.91262,28.33296,27.89134,26.72169
Q96EA4,SPDL1,26.13696,26.5398,27.9968,25.15128,24.90729,26.99399,27.61737,28.3232,26.95804,28.83038,28.53823,27.86614,27.62742,25.90545,26.01761,23.97009,24.2363,24.10318,25.81093,27.50907,26.12311,26.06034,28.06841,26.15347,27.13516,25.11362,25.19129,26.39637,23.51256,25.35622
Q5U651;A0A087WVG2,RASIP1,22.05777,24.18918,21.79864,21.47635,19.70415,20.0672,21.59007,20.48751,23.42969,20.38026,22.39498,23.68964,22.74905,21.07055,NaN,23.19903,20.90166,20.02931,21.14034,21.25903,23.12552,19.84146,20.96838,NaN,21.57713,21.87701,23.10114,21.18071,31.52183,30.72712
O00391,QSOX1,23.95638,25.88108,25.70158,23.64872,24.50312,23.82626,26.38251,24.69418,24.86858,24.86806,25.27877,25.78232,27.33773,25.24963,25.99296,27.66492,27.7748,25.39829,24.30703,25.2046,25.35824,25.00552,28.41603,28.65516,25.86401,27.43189,23.65927,25.73312,23.77997,25.20799
Q9BZL4,PPP1R12C,24.39277,24.96851,27.58255,26.52082,26.38568,26.15864,25.10181,26.27932,24.79382,27.19957,25.5047,25.35037,25.69986,26.07757,24.21052,25.9055,25.22398,24.60964,27.37368,27.92048,26.32639,24.44285,25.07455,25.82346,26.85353,24.77057,24.4612,24.85515,25.0874,24.53846
P19174,PLCG1,28.32911,27.74746,28.87438,28.15832,28.26633,25.96697,29.52094,28.88408,28.94938,29.43625,29.24921,29.40331,29.15096,27.97766,28.14933,29.87581,28.27489,28.13853,28.49564,29.32412,26.89747,29.89952,28.93435,27.95759,29.98019,27.31933,29.361,29.00999,29.62927,29.71867
Q99567;J3KMX1,NUP88,29.27728,29.16142,27.97766,29.70367,29.29239,29.48848,28.19418,29.14131,29.17741,28.80772,28.34786,29.15584,29.39493,28.46933,28.44538,28.96601,28.79678,29.05535,29.01454,29.10951,28.18844,28.41639,28.90461,28.12327,28.84745,28.18201,28.9803,28.70616,28.80802,28.93272
P10588,NR2F6,24.57335,24.26621,24.66899,25.09828,23.95056,25.08797,25.30351,24.74417,24.04517,24.35642,24.9136,24.43087,26.30372,24.18155,25.97655,23.79461,24.75776,25.30362,24.90857,24.04402,24.97911,25.53597,NaN,NaN,26.00809,26.12248,24.46126,24.65398,24.601,NaN
Q9P260;A0A075B785,KIAA1468,25.57837,26.24532,26.63672,26.9149,27.27746,27.12307,26.56803,28.2069,26.31237,28.4647,28.4434,28.34702,27.5366,25.97795,28.74804,25.97832,27.47112,24.97675,26.76231,26.53297,26.25516,27.22858,27.40495,27.72403,28.15971,26.52695,26.6675,27.87015,26.90438,25.505
Q9UI26;F8WDV0,IPO11,28.15127,29.34367,29.46943,28.54793,28.88265,27.65458,28.76872,29.22122,29.11991,27.7929,27.60816,29.79304,29.53908,28.56322,29.03661,28.25431,29.62647,29.0114,29.81694,29.65915,28.64612,28.14209,29.04851,28.48355,28.92292,28.32238,28.82905,29.55422,28.9314,29.22559
Q6P4E1,CASC4,24.83268,25.18775,25.00813,26.35711,25.73016,28.72345,25.59671,26.49386,24.56261,26.23178,23.56906,26.43531,27.35187,25.58658,26.65103,25.5844,24.94436,26.85007,26.10145,25.48606,28.66391,27.37078,25.13807,26.76231,26.76812,25.66096,24.37281,24.49656,24.93445,25.1434
Q8N2Z9;K7ESB0;R4GMN7,APITD1;APITD1-CORT,24.48518,NaN,NaN,NaN,25.44205,24.87994,24.57045,NaN,24.63876,23.28138,NaN,NaN,23.55637,24.48336,25.31219,26.85484,NaN,25.62815,NaN,NaN,24.46959,24.69657,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
Q96TA2,YME1L1,28.88288,28.41131,28.68692,29.75866,29.60631,29.72434,29.2432,28.83786,28.98558,28.68358,28.77084,29.03381,28.80925,28.8737,29.3909,28.79696,28.60198,29.0234,29.39327,29.14785,28.35599,28.99324,29.66379,29.35241,29.32053,28.93227,28.80443,29.0874,28.97812,29.20023
Q5BJF2;J3KT68,TMEM97,27.67566,28.28304,26.58764,28.18589,27.73312,24.22628,27.9026,26.58706,27.52522,28.57532,28.61502,27.40332,26.7442,26.11851,27.32929,26.50644,26.91525,26.86632,26.37088,28.29132,26.17396,28.06594,27.03444,26.37844,27.35102,27.84834,28.69166,28.58853,27.37675,26.75583
Q9Y3D8;A0A087WVD7;D6RDH4,TAF9,27.60633,26.75047,27.06938,26.62854,26.96818,26.26928,24.45419,26.56982,26.8846,27.6327,27.87672,27.79526,28.10824,25.97412,26.52852,24.11831,27.7661,25.75369,26.37406,28.01089,24.94262,25.84769,27.88046,27.21558,27.68291,25.34729,26.88192,27.91445,27.93055,28.20522
Q96T23;H0YER1;H0YCN2,RSF1,28.55863,28.77077,28.18721,29.77706,29.19592,29.60178,28.42906,28.27937,28.49133,28.50703,28.60155,28.84697,28.68929,28.82065,29.39807,28.92615,28.3468,31.49481,29.16966,27.74285,28.64045,27.72702,29.30672,29.14146,28.08192,29.13288,29.05582,29.20951,28.90916,29.02388
P41218,MNDA,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,24.84639,NaN,NaN,NaN,24.87444,NaN,23.8479,24.12833,NaN,NaN,NaN,23.413,NaN,NaN,NaN,NaN,23.5603,NaN,NaN,NaN,22.48492,NaN
Q92743;H0Y7G9,HTRA1,22.61329,26.76433,26.46417,22.23641,19.90292,24.99787,20.58774,22.23345,NaN,29.58169,29.78486,22.53345,22.10913,NaN,19.98804,25.8007,21.27264,NaN,NaN,NaN,NaN,NaN,22.51251,23.17647,23.24096,23.75093,NaN,NaN,21.64569,NaN
O95302,FKBP9,29.57044,29.11302,28.86154,29.72307,29.02857,30.39264,30.09245,29.22527,27.57283,29.00525,28.71165,28.325,28.61372,28.73741,27.11118,29.35365,28.03795,27.76212,29.09532,29.27342,29.7361,28.65383,27.98468,28.66306,29.00255,30.32999,29.45783,28.41675,28.77304,29.07391
Q9UK61;A0A087X0F1,FAM208A,26.83268,28.06296,26.84302,27.90213,27.79804,29.4747,23.2548,27.74676,27.87666,27.69744,28.17231,26.73879,27.13819,27.84781,26.42646,24.36966,25.88036,25.5535,27.79934,27.72065,24.37219,27.37086,25.87392,27.37294,28.3482,26.95382,28.01632,27.25151,26.89412,26.83207
P23610,F8A1,24.60761,25.56828,24.9715,NaN,25.97156,26.48108,26.17528,25.63567,24.76497,26.77794,26.22713,25.1829,24.85705,25.74473,25.81729,25.49155,27.00056,26.31238,26.23595,24.62517,27.02083,25.80134,27.30852,26.91422,26.18471,26.20456,26.44176,26.55211,25.20553,24.70599
Q9H2P9;A0A087WXP7,DPH5,25.99783,27.43476,28.29395,25.1488,26.29256,26.37214,27.17646,26.67371,27.2369,24.60818,24.4249,26.99291,25.95131,26.20458,27.03852,25.83634,27.22656,27.20639,27.486,25.79015,26.52423,26.91182,26.77706,27.60548,25.92234,26.36998,27.65014,26.62282,27.76692,29.1568
P61962;A0A087WWI6,DCAF7,28.12124,28.12337,26.80132,27.54259,27.48431,27.63692,27.71148,27.68766,27.498,27.98278,28.0258,27.64877,27.7228,27.09577,27.84637,27.85982,28.44154,28.69697,28.06188,28.36223,27.81342,27.11704,27.7368,28.58405,28.08126,28.07877,27.66865,28.24649,27.49083,27.13878
Q9NXF7,DCAF16,24.02488,25.13434,23.67295,NaN,23.76889,NaN,24.55777,22.61468,24.44683,23.39231,24.48794,24.45205,23.27695,26.2959,25.32876,22.54731,22.46553,25.78534,23.95669,NaN,23.94662,24.84283,25.59315,25.05842,NaN,NaN,24.66949,NaN,23.80823,26.44826
Q53EU6,AGPAT9,NaN,22.64574,27.89105,NaN,21.96578,23.91159,22.55721,24.15862,NaN,26.97542,25.68172,24.05109,23.61908,23.32471,25.20613,NaN,27.09818,24.9538,27.25052,27.82147,24.41112,22.29536,24.22369,25.83783,26.13692,26.67398,23.37013,19.65274,26.55157,26.82651
O75027;B4DGL8;A0A087WW65,ABCB7,28.53823,28.01824,28.06126,27.98202,28.23581,29.13563,29.20284,27.80507,28.11976,27.74599,27.5297,28.16183,27.79897,29.10757,28.90933,28.94372,27.6261,28.70507,28.23306,29.02543,28.11629,28.69611,28.33909,28.13506,28.50499,28.63416,28.52973,29.30363,28.79352,28.25219
Q6PJ69;H0YGS7,TRIM65,25.34905,24.60286,24.26098,24.40432,24.84613,25.47088,24.02459,25.3927,25.36473,25.28517,25.58437,24.54695,24.10637,24.52361,25.28284,24.62651,26.3551,24.76517,25.79226,24.00972,25.76646,24.72171,25.56381,26.56461,27.62902,NaN,26.39893,26.29188,25.39654,26.00325
Q9UH99,SUN2,28.06676,28.532,27.12288,25.84484,25.8187,28.46747,27.66092,29.21646,27.31967,27.8343,27.10029,29.28749,28.61765,28.23302,28.02839,27.5238,26.04005,27.38517,29.59813,27.04718,28.78247,26.71594,25.25046,25.95726,28.26772,27.62833,27.35817,27.17131,27.73085,26.64471
Q8TBP6,SLC25A40,23.51917,24.00716,23.42137,24.11497,23.857,24.18442,25.82012,24.96583,22.70071,23.7237,24.02842,24.66677,23.79749,24.53991,25.51533,25.27594,26.60292,23.95074,25.92531,23.16425,24.81563,25.00037,25.03368,NaN,24.35501,26.33124,24.71796,23.90628,25.15507,25.42236
O76054;B3KRD8,SEC14L2,27.6811,27.30626,26.71096,NaN,26.14975,25.56601,22.85512,26.66425,25.49601,26.65935,26.13073,27.50681,26.69962,25.8327,24.15437,25.96018,28.09361,26.59477,28.64207,26.50608,27.51435,26.10119,26.54506,25.1752,28.48808,25.90178,25.85212,26.07372,28.06281,26.61175
Q7L523,RRAGA,26.81213,27.3919,28.89813,26.16532,27.55113,26.37519,26.95748,27.45113,27.04729,26.92196,27.20313,27.48416,27.41796,27.01137,27.73176,27.67573,28.96815,26.7196,27.01223,27.38492,27.24636,27.47553,27.59156,27.54959,26.76383,27.48562,27.238,27.6361,27.76332,25.97819
Q6P4A8,PLBD1,21.26134,22.14299,22.79104,NaN,21.8977,27.29675,25.73603,23.01279,23.49777,NaN,NaN,22.77072,NaN,NaN,NaN,22.52096,23.23841,NaN,26.62547,24.8071,21.5294,22.59566,23.42278,24.50391,22.00779,24.81441,27.94748,28.30774,28.96097,26.98229
P00749;E7ET40,PLAU,NaN,23.29894,27.08274,NaN,NaN,23.24548,18.21175,22.82306,28.74124,NaN,NaN,26.75098,21.68658,24.75292,22.21931,21.60223,24.09217,22.55756,25.70982,22.74322,22.33027,NaN,24.05772,25.19494,24.37465,19.81859,21.08342,NaN,23.04911,28.93464
O43674;H0Y886;E7EWP0,NDUFB5,28.28674,27.9501,27.77493,28.03244,28.17897,28.6302,27.44506,27.13956,27.52088,27.39705,27.17826,27.80181,26.43382,27.29395,27.92502,27.77058,27.82663,28.49755,28.34401,26.64444,27.34748,28.19221,29.29562,27.56638,27.31717,27.45552,27.63152,27.94156,28.05812,28.36415
Q99707;B7ZLW7;B1ANE3,MTR,25.99246,27.38253,27.46139,26.71816,25.17866,26.44057,27.30461,26.51085,27.44158,26.18962,26.57535,27.51337,27.13144,28.38393,27.91866,28.5136,24.89846,26.59007,25.74814,25.54537,27.38303,24.33872,28.16149,26.99895,27.06106,26.00284,27.61667,27.22288,27.75455,27.57838
P17931;G3V3R6,LGALS3,32.55502,32.13375,31.25659,29.80789,27.39917,30.45885,30.01319,31.14571,30.07482,26.30168,24.24496,30.42622,30.0584,33.43825,31.82919,29.78275,31.47034,32.3374,33.34705,34.30864,32.00196,29.38088,31.02459,31.54089,31.82278,33.07688,24.42842,28.34587,25.27629,23.60705
P01903;Q30118,HLA-DRA,NaN,NaN,NaN,18.94455,NaN,17.29258,20.69606,NaN,NaN,13.73338,14.95488,NaN,15.12427,NaN,23.55754,18.39188,16.67687,19.16948,22.83848,NaN,NaN,24.45387,NaN,NaN,16.6556,19.02081,NaN,15.47619,NaN,NaN
P35219,CA8,NaN,NaN,29.7607,19.66039,23.30285,NaN,NaN,22.26262,NaN,NaN,25.81164,NaN,NaN,NaN,22.51762,26.78157,NaN,26.74663,NaN,NaN,22.05437,21.19959,21.36602,NaN,NaN,NaN,NaN,NaN,21.95559,NaN
Q13017,ARHGAP5,28.15001,29.06907,25.99729,25.48711,28.40088,26.41057,27.6599,27.14131,27.27373,26.53993,24.87244,26.42979,26.87549,27.4453,28.26678,28.74602,24.75868,26.14864,29.38515,27.01382,27.68331,25.59104,27.08223,27.4182,27.85668,27.99739,25.78487,26.56307,24.92601,24.5251
Q8IWR0;I3L2K5,ZC3H7A,26.39761,26.53491,27.42398,28.02586,27.86041,25.48892,27.32911,26.8742,27.88675,27.60237,28.2454,27.784,28.11212,25.48778,26.33479,27.65205,26.84995,25.19929,28.11158,27.10669,24.7214,25.60105,26.04854,26.43121,27.92099,26.68766,27.36411,27.05569,26.89261,27.73731
Q14669,TRIP12,29.34314,29.31328,29.32914,30.23569,30.29537,29.17176,29.6832,29.93705,30.04466,29.73776,28.83608,30.56229,30.30585,28.85698,28.68609,29.74432,29.25151,29.34405,29.64822,29.58603,28.95349,28.81632,29.74442,29.88745,29.61537,28.73202,29.1159,29.62965,29.61914,28.87646
Q12899;A2AE48,TRIM26,25.73733,26.74496,26.05063,26.16002,26.25355,26.48376,26.19575,25.80368,25.71871,27.20219,26.77881,26.7366,26.3231,26.30408,26.36991,25.42915,26.20283,26.24262,26.19901,25.11533,23.76122,25.02318,26.81982,26.31838,26.77505,26.23476,26.98185,26.92479,26.38622,26.29745
P28290;E9PHV5;E7EUL7,SSFA2,26.64127,26.72573,26.95914,25.6739,24.53188,28.92603,25.93197,26.94637,26.12717,25.78656,25.73975,26.66709,26.47579,26.31067,24.68752,25.01457,27.3697,24.50343,31.05271,27.25548,25.14992,24.30786,26.14818,24.54336,26.64774,24.66817,23.74088,23.52839,27.93377,27.73712
Q96NB2;R4GMW0,SFXN2,25.54156,24.66134,22.528,23.57228,22.93609,25.84955,24.57813,24.0436,NaN,25.86835,26.04914,24.47982,24.09547,NaN,28.49846,26.57744,24.84246,26.57586,24.92016,24.96574,22.17532,26.47857,22.83489,NaN,NaN,24.49277,23.64009,23.63707,NaN,NaN
P67812;H0YNG3;H0YNX5;H0YKT4,SEC11A,27.82293,27.98875,29.42298,27.97295,27.84542,28.4807,28.72439,27.15981,26.43482,28.01111,27.59206,28.51878,27.79029,27.41844,28.0337,27.7397,28.52996,27.81934,27.43365,26.98566,27.91445,28.15576,27.54473,28.0727,27.01691,29.34782,28.09502,27.40844,28.33151,27.39893
Q9BRP1,PDCD2L,26.6238,26.17805,25.56317,26.4928,25.83178,27.20807,26.94123,26.95671,27.22858,26.05279,25.95573,26.51877,26.78407,26.31793,26.89689,26.25238,27.31812,28.16935,27.86773,27.38977,26.58391,26.88204,28.19817,27.15219,26.50688,26.56932,26.04685,26.07792,27.07541,28.09954
Q9UBP6,METTL1,27.54016,26.71411,27.06856,26.63603,27.58205,25.58314,27.30103,27.30991,28.01356,25.99742,26.59335,27.59042,27.56449,25.71531,27.59584,26.22861,26.95049,26.49717,28.27764,27.42118,26.29691,26.03712,27.97902,26.96939,27.24209,26.71358,26.99442,26.94604,27.32105,27.50256
Q5T3J3,LRIF1,23.87492,24.14196,NaN,24.89978,25.63733,24.68314,25.64408,24.94847,24.70551,25.41532,25.70269,25.01789,24.0005,24.19738,25.3123,24.04477,24.1039,24.9276,26.22782,24.99243,24.72531,NaN,24.02166,23.2839,27.68177,27.53423,26.00667,25.89308,26.26678,25.96618
P42858,HTT,28.4663,29.04555,27.1453,26.61034,28.86788,29.74969,27.96207,27.91485,27.10729,29.19533,29.39811,28.05238,27.7604,27.82723,27.67526,28.1716,28.48869,27.96273,28.03286,27.57672,29.32184,27.6432,28.82969,30.20769,29.14535,28.6202,28.88847,29.38784,28.09703,27.36185
Q13547,HDAC1,28.99221,29.24291,28.38294,29.62219,29.61982,28.88489,29.10104,28.33513,28.53609,29.28505,29.46822,28.60134,28.67327,28.88995,29.04067,29.43744,28.57228,28.48838,29.56289,28.79455,28.85786,28.9656,27.96235,28.67138,28.99394,29.44794,28.50218,28.85362,29.13643,28.5382
Q9NY12,GAR1,28.91744,28.8744,29.27175,29.35819,29.00953,29.34446,29.00349,28.58459,29.43163,28.66146,28.58928,28.9571,28.47154,29.86762,28.84822,28.4668,28.4227,29.46898,28.91804,28.9038,28.91539,29.62064,27.84464,28.69521,28.37782,29.13203,29.24538,29.00413,29.54269,29.78235
Q8TBF2;J3QKK8;J3KRV9;J3KPF6;J3KPF5,FAM213B,NaN,24.10317,25.30588,22.57557,22.2723,NaN,24.85015,NaN,NaN,25.86521,24.69466,24.5032,23.26957,23.3641,22.87922,24.88092,24.06973,25.02479,25.73908,NaN,24.85019,22.88534,NaN,25.72124,22.27056,23.13565,24.23228,22.96921,24.07504,24.05647
Q9UNN5;B1ANM7;B3KT28,FAF1,28.57452,28.49106,28.27764,28.73976,28.22789,28.51107,28.69906,29.04281,29.14219,28.59712,28.86009,28.56881,29.01292,28.26387,29.04918,28.43022,28.87094,27.67115,28.9875,28.45207,28.53033,29.08838,28.77178,28.72754,28.80483,29.02778,28.01717,28.48696,29.42092,28.54584
H3BST1;Q9UL45;H3BNE3;H3BR42,BLOC1S6,NaN,25.94604,25.05858,NaN,NaN,NaN,24.6962,23.19687,25.34648,25.39198,22.81923,23.20921,22.51855,23.96729,23.64779,NaN,NaN,24.34618,25.14453,23.52518,24.63362,25.09676,NaN,NaN,24.23732,NaN,25.52388,25.78112,24.16647,NaN
P11117;E9PQY3;E9PHY0;B7Z7D2;E9PP23,ACP2,26.59505,26.53402,27.30034,27.81543,27.21206,29.30134,26.11241,26.04423,26.24069,26.98999,26.73867,27.54252,26.81897,27.30843,27.3667,27.7965,25.84101,27.26901,27.50824,26.46125,26.85448,27.77298,26.25874,27.40738,26.9516,27.94078,27.68043,27.54937,25.70232,26.22825
CON__REFSEQ:XP_001252647,,23.80085,25.7506,31.3365,25.62603,23.33017,23.66156,27.57816,28.93893,26.76383,25.17127,25.86984,27.53519,28.19971,27.80514,27.41949,29.24304,25.3017,26.8735,27.02876,26.01227,27.70675,26.71201,33.33058,33.52227,27.24509,28.35599,25.20672,27.4069,27.90759,30.88998
Q9Y6W5,WASF2,28.90973,28.70431,27.60717,27.09164,28.07643,28.96821,28.27378,28.4285,28.01962,28.20881,28.48735,28.31829,28.50085,28.49431,28.55201,29.32356,28.15533,28.34976,29.07681,28.9846,29.21125,28.60791,29.18097,28.45998,29.4447,28.45779,28.21993,27.86555,28.75688,28.26816
Q9BYX2,TBC1D2,29.90009,29.90311,26.1611,22.59136,22.88777,26.10558,25.69856,29.47694,28.62045,30.14175,29.60098,26.78544,28.69936,29.04114,23.0072,22.66644,28.17874,26.61302,28.15117,28.3975,29.60054,27.93101,27.21762,27.69205,29.51083,25.1303,23.40743,23.55497,24.05788,22.26996
A8MWD9;P62308;Q49AN9;F5H013;C9JVQ0,SNRPG,28.84368,29.43476,28.9865,29.80735,29.69993,29.31164,29.67812,28.8975,29.52522,29.8954,30.25541,30.03983,28.86304,29.83034,29.98888,29.32131,29.50537,29.33828,29.86589,28.87038,30.05155,29.66954,29.86859,30.17176,29.24477,30.06407,30.48395,29.95546,30.44638,29.65403
A3KN83,SBNO1,27.15711,27.06528,26.87326,28.34951,28.30635,26.58835,25.86667,27.47475,27.78407,26.26542,26.20967,27.14336,27.45951,25.84836,28.05025,25.37309,25.27117,26.41083,26.99949,26.84637,24.68394,25.8235,28.31601,28.1589,27.94403,26.0721,28.22867,28.27981,27.7395,28.1915
Q9ULW8,PADI3,32.86282,30.59352,19.13335,17.77468,19.58849,NaN,NaN,16.71942,18.8298,18.48259,19.20345,NaN,19.55281,NaN,19.39909,19.19701,18.53613,NaN,19.21989,23.3769,NaN,17.31026,18.80233,17.3383,20.21169,18.63654,18.15422,NaN,NaN,NaN
Q9H6W3,NO66,25.33084,25.41018,26.87842,24.90889,27.30051,27.59285,27.04218,26.8387,25.54928,27.14005,27.4251,25.70588,26.41769,28.57644,24.58176,25.41815,25.44285,26.9824,27.54267,24.62361,25.84451,26.09061,28.37824,27.45191,29.9034,25.97213,26.00134,26.36478,26.96631,25.8659
Q7L592;C9JS27;C9J236,NDUFAF7,27.45991,26.84302,26.84338,26.44717,27.02971,27.56493,27.31251,26.45329,26.49167,26.55029,27.01052,26.51724,26.14967,27.13085,26.67088,27.85662,26.53708,26.47763,27.34782,27.83972,26.32158,28.10299,27.21632,27.02126,26.74778,26.35699,27.295,26.91308,26.80943,25.35101
P17301,ITGA2,30.41347,30.31322,30.27097,24.415,21.15091,30.46743,24.19723,30.74061,29.30576,29.00089,28.04312,28.69806,28.26924,26.92332,28.27515,24.46158,31.57258,26.42899,30.83349,31.90892,27.9566,26.84589,29.63563,28.30417,27.77812,26.68418,22.71842,22.42905,28.06584,29.68796
Q8NI35;A0A087WUZ6,INADL,27.03727,27.29167,24.48696,24.33363,25.57225,28.96958,27.99706,26.68565,22.37196,28.86499,28.44103,24.96301,25.58643,26.87725,28.13315,26.30178,27.95892,27.38294,28.50718,27.4916,28.28987,26.90449,26.63727,28.07362,28.97708,29.53768,24.67422,23.29025,24.81558,NaN
Q68CQ7,GLT8D1,22.94664,24.42477,25.635,26.0105,25.68565,25.53407,25.39454,25.69729,25.95387,25.28725,25.60688,27.59221,27.31103,27.23882,26.28907,24.0694,24.01112,23.8968,24.89486,26.0815,24.39123,25.54115,26.78489,25.03624,25.94183,25.71274,23.52719,26.95571,25.24027,24.81044
O14641;I3L2N2;I3L2W9,DVL2,28.61982,26.86172,27.93309,27.3789,27.05683,26.83605,25.69808,26.94748,25.16488,27.81903,27.7348,26.63686,27.70253,25.47825,26.41588,27.64815,25.40302,26.39984,28.21354,26.249,25.37643,26.54332,25.97732,26.12631,25.21104,27.27755,28.24758,28.91114,26.82189,26.02741
Q5SRQ6;P67870;Q5SRQ3;N0E472,CSNK2B;CSNK2B-LY6G5B-1181;CSNK2B-LY6G5B--991,29.36822,30.03748,29.93044,30.48941,30.26338,29.37144,30.10024,29.56674,29.47106,29.33014,29.2324,30.83906,30.08967,29.95892,30.8007,29.78984,30.09836,29.86232,30.2968,30.32753,29.67936,29.77027,30.34784,29.30326,30.54701,30.25226,30.49324,30.37109,30.62575,30.07035
P43155,CRAT,23.19702,NaN,26.35148,25.09619,29.01446,27.67384,25.42214,28.6353,24.21323,28.6699,28.58266,27.28215,26.39731,27.23032,25.47163,28.80563,24.58394,24.86778,27.81519,NaN,29.49127,28.08801,22.22538,22.78411,28.21942,23.18873,22.66369,26.54494,27.46123,24.42323
Q7LG56;H0YAV1,RRM2B,25.87608,24.26456,25.7184,25.97325,27.66932,25.88094,24.57929,28.77071,28.91883,27.22885,27.24835,25.61742,25.05805,26.45602,25.5936,27.03538,28.76275,26.87021,26.47102,29.12265,29.16973,24.89777,26.19665,27.72566,27.17741,27.09476,26.87408,26.69418,27.32757,26.54253
Q9HCJ3,RAVER2,25.19385,25.47618,24.45469,25.6102,25.47683,24.78457,23.47296,24.31145,25.02589,25.09507,25.00243,NaN,22.74873,NaN,24.23965,24.11378,25.00028,NaN,25.36289,24.97636,23.94664,23.53919,25.82842,24.10427,23.76678,22.70858,25.83241,27.06435,24.23067,25.43186
