protein,type,meas,coef,wald,fdr
NMD3,2.0,32.0,1.18179056463,0.00029964713834,0.0016091609677583497
S100A6,2.0,31.0,1.17274293554,0.000300935177799,0.0016120728297688983
AGTRAP,2.0,6.0,2.48511409012,0.000300621072718,0.0016120728297688983
PPP1CA,2.0,13.0,1.73065398275,0.000304397068779,0.0016285996637773576
FECH,-2.0,6.0,-2.53307519703,0.000305289754806,0.001631356749103186
TBC1D15,2.0,8.0,2.14538178227,0.000311350008724,0.0016616865280418989
LRCH3,2.0,37.0,1.11368427413,0.000317620843028,0.0016930640005076564
PEX5,2.0,23.0,1.3330421581,0.000318948477531,0.0016980471285309232
ARIH1,2.0,7.0,2.34977575477,0.000321477751021,0.0017091035610873825
DOCK9,2.0,8.0,2.13183316981,0.000321815937711,0.0017091035610873825
TMEM205,2.0,17.0,1.54581172312,0.000324716842817,0.0017223937564378622
IGF2BP2,2.0,48.0,1.02371781627,0.000325783252936,0.0017259326010314123
PEX19,2.0,19.0,1.44549698455,0.000327181851671,0.0017312204954380473
LAMA3,2.0,11.0,1.85925227681,0.0003279247954,0.0017330304285008923
TOMM70A,2.0,5.0,2.76431367335,0.000330024540791,0.0017419976676929102
SIRT5,2.0,21.0,1.39169950505,0.000332831869903,0.0017535639849383608
SCP2,2.0,13.0,1.70486788324,0.000333027071856,0.0017535639849383608
TK1,2.0,14.0,1.65143186746,0.000336072692411,0.001767447991839832
ZNF592,2.0,10.0,1.96904438219,0.000346499721291,0.0018200708324928668
NOL10,2.0,6.0,2.46258824453,0.000349596385976,0.0018341082239952886
ZFAND1,2.0,23.0,1.33304925591,0.000352991922663,0.0018496776747550492
IRF2BPL,2.0,7.0,2.31500031188,0.000359684634647,0.0018801894505161741
PITRM1,2.0,22.0,1.33917748176,0.000359516237597,0.0018801894505161741
AAR2,2.0,11.0,1.85785596355,0.000363272168933,0.001896649258813078
SH3GLB1,2.0,9.0,2.05374792184,0.000365009635489,0.0019034217783116946
UCHL3,2.0,5.0,2.71713648853,0.000371064935669,0.0019326671287898749
LPCAT3,2.0,21.0,1.37322408938,0.000374573167074,0.0019485918186062702
GNPAT,2.0,27.0,1.22972264976,0.000376010526265,0.0019537181551020489
CBX3,2.0,8.0,2.12205523433,0.000377140314651,0.0019572359906822731
XPO5,2.0,12.0,1.73377998874,0.000380178190248,0.001970635871035421
SELT,2.0,28.0,1.21746266655,0.000385169232578,0.0019941156795607309
MDH1,2.0,7.0,2.33179888102,0.000388025840287,0.0020065020425383859
FAM20B,2.0,17.0,1.49435719315,0.000392929935778,0.0020294338260073031
CHMP1A,2.0,5.0,2.68644392816,0.000397132807908,0.0020486934708672357
HMGB3,2.0,10.0,1.95859521557,0.000399903910594,0.0020605299231194569
IVNS1ABP,2.0,22.0,1.33203108409,0.000403727531508,0.0020777549032269292
TOMM34,2.0,16.0,1.5314260496,0.000409038208219,0.0021025828467646245
PM20D2,2.0,8.0,2.11738154274,0.000409949973172,0.0021047669050134016
DCP1B,2.0,26.0,1.232400999,0.000412260889226,0.0021141207878110804
ALDH9A1,2.0,18.0,1.47445054006,0.000413362484824,0.0021147526886343281
DEPTOR,2.0,83.0,0.826280532128,0.000413190909128,0.0021147526886343281
LARP4B,2.0,21.0,1.37459413239,0.000416620686649,0.002128902161209189
C11orf54,2.0,12.0,1.79029639201,0.000420080225513,0.0021440458263216893
FOXP4,2.0,9.0,1.97304985669,0.00042078247457,0.0021449654646800566
PRKACA,2.0,26.0,1.28938116099,0.000421252759545,0.0021449654646800566
ATG5,2.0,8.0,2.14123949805,0.000421848482993,0.0021454717552698197
BST2,2.0,19.0,1.43977481859,0.000423249882026,0.0021500696122213831
TAPBPL,2.0,21.0,1.34102771005,0.000424783693067,0.0021528017645130624
PCMTD1,2.0,16.0,1.52787813321,0.000424360799389,0.0021528017645130624
MRFAP1,2.0,9.0,2.00349936853,0.000435640417372,0.0022052383188526608
ARMC1,2.0,20.0,1.36638518937,0.000438399051572,0.0022166071344380902
CHRAC1,2.0,71.0,0.860474402035,0.000442018925049,0.0022322988469487483
TSPO,-2.0,10.0,-1.90610153297,0.000447029595402,0.0022549695926729432
PRPF3,2.0,31.0,1.14051733295,0.000449694157736,0.0022657667178225607
SUB1,2.0,17.0,1.49820417638,0.00046152391355,0.0023216549086412081
HNRNPU,2.0,24.0,1.24649165947,0.000461860564754,0.0023216549086412081
RRBP1,2.0,7.0,2.2119237179,0.000466924823591,0.0023443856125263483
DCPS,2.0,10.0,1.93381530398,0.00047105778523,0.0023623930458833375
ALDOC,2.0,11.0,1.82979913672,0.000474660220142,0.0023749492264755717
GLDC,2.0,9.0,1.94066836766,0.000474416827265,0.0023749492264755717
GFER,2.0,5.0,2.66829841811,0.000478575922926,0.0023900932600594642
BAIAP2,2.0,16.0,1.47012479599,0.000478792681751,0.0023900932600594642
ZNF384,2.0,23.0,1.28368817902,0.000485093715658,0.0024187544784168985
SMYD3,2.0,26.0,1.18430401626,0.000485820611784,0.0024195881391048486
NOTCH3,2.0,23.0,1.33962957658,0.000489822270625,0.0024362456355989299
RPRD1B,2.0,16.0,1.52003803583,0.000490292320835,0.0024362456355989299
NR2F6,2.0,20.0,1.37312730509,0.000491223027784,0.0024380679094286738
CUL5,2.0,7.0,2.28104473549,0.000491825780543,0.0024382601482668834
EEF2,2.0,5.0,2.74550072293,0.000497029331404,0.0024612345929683238
TSTD1,2.0,21.0,1.34148990022,0.000500023324273,0.0024732274952300706
ZCCHC3,2.0,13.0,1.64716944471,0.000504461962043,0.0024923303564724861
ITGA3,2.0,13.0,1.74595228211,0.000512954961066,0.0025313975989606284
PARS2,2.0,11.0,1.80113057975,0.00051897181881,0.0025581700943167391
TRA2B,2.0,47.0,0.993309599286,0.000521512609937,0.0025677665293370048
UNC45A,2.0,15.0,1.57336088968,0.000527604915324,0.0025948077917459854
REL,2.0,9.0,2.00904670978,0.000532316393385,0.0026120360597090349
RAB3GAP2,2.0,21.0,1.34092591167,0.000531815665333,0.0026120360597090349
EEF1G,2.0,5.0,2.63962340306,0.000537024660615,0.002629170563803321
PTX3,2.0,28.0,1.19681691279,0.000536727669946,0.002629170563803321
LRRC8D,2.0,8.0,2.06696297745,0.000538184525983,0.0026318684455039982
REEP6,-2.0,9.0,-1.98897078542,0.000547554115066,0.0026746626434260502
SND1,2.0,25.0,1.23548707905,0.000549419234459,0.0026777219284836481
PLEKHA5,2.0,14.0,1.57380058054,0.000549041005558,0.0026777219284836481
RBM12B,2.0,44.0,0.960118547034,0.000554083014357,0.0026949962310808388
C19orf53,2.0,24.0,1.28073126975,0.000554210420872,0.0026949962310808388
CD59,2.0,8.0,2.09422507557,0.000556231663397,0.0026987536261132853
LGALS9,2.0,8.0,2.1130752103,0.000555830952351,0.0026987536261132853
TBCC,2.0,15.0,1.543273946,0.000565117427227,0.0027387921949578497
ERMP1,-2.0,8.0,-2.1170211874,0.000565910528095,0.0027395646281668583
NMNAT1,2.0,6.0,2.35739022416,0.000576362444458,0.0027870412163211403
RBM38,2.0,23.0,1.24949703109,0.000577600252293,0.0027899060230858019
ACADSB,2.0,6.0,2.43491264142,0.000579332659356,0.0027951507660686757
DHX40,2.0,15.0,1.52305319937,0.000586829801023,0.0028281663654648923
CUTA,2.0,9.0,1.90723159444,0.000587815841193,0.0028297637878361786
C12orf43,2.0,6.0,2.35909597211,0.000590321883677,0.0028386668555471575
GAPVD1,2.0,6.0,2.39645230029,0.00060269700499,0.002894954613966647
C1orf35,2.0,21.0,1.319992361,0.000606406873116,0.0029063158674971705
BPHL,2.0,22.0,1.24495199167,0.000605802687761,0.0029063158674971705
ALG1,2.0,6.0,2.4067385409,0.000607469736222,0.0029081856807173126
KDM2A,2.0,13.0,1.65464828282,0.000608669747898,0.0029107072125714828
AKT1,2.0,7.0,2.23335582687,0.000610136966414,0.0029144995644286484
CAAP1,-2.0,5.0,-2.57117379624,0.000617440953069,0.0029461338191136277
KPNA2,2.0,17.0,1.45801307523,0.000620861660243,0.0029591895890068044
KLK10,2.0,5.0,2.56000993362,0.000625576389639,0.0029768828789010797
EEF2K,2.0,6.0,2.36677125822,0.000625951084183,0.0029768828789010797
PHGDH,2.0,10.0,1.89620974674,0.000626667929592,0.0029770169886022295
ACAD9,2.0,13.0,1.653238689,0.000631227565528,0.0029953861314804108
C8orf33,2.0,74.0,0.837163030364,0.000631978392269,0.002995660734404354
DUSP12,2.0,19.0,1.36620334942,0.00063378979822,0.0030009565144636535
LGALSL,2.0,8.0,2.07708497962,0.000634835293005,0.0030026181309187909
PNPLA8,2.0,11.0,1.77823824587,0.000636741647473,0.0030083433246193788
ELOVL1,2.0,12.0,1.68382603407,0.000639334773817,0.0030172971912790412
CRIP2,2.0,9.0,1.99896997954,0.000648589948189,0.0030543075664734194
IGSF8,2.0,19.0,1.35935828354,0.000648335892231,0.0030543075664734194
STUB1,2.0,8.0,2.07184041333,0.000650461870826,0.003059789627401405
PCMT1,-2.0,6.0,-2.38121138813,0.000654040937487,0.0030732814921242062
AHCYL1,2.0,6.0,2.36834528735,0.000656843607608,0.0030830997998786192
TMF1,2.0,5.0,2.59507019322,0.000659682367542,0.003093066024817754
SRM,2.0,6.0,2.41659664122,0.000660429415268,0.0030932138268718406
VKORC1,2.0,5.0,2.63891738894,0.000665394482172,0.0031130956130186807
TXNDC12,2.0,12.0,1.73859927772,0.000668539973195,0.0031244305990515324
SLC25A6,2.0,6.0,2.38462770076,0.000669842429752,0.0031271369587678741
RPTOR,2.0,15.0,1.50492100754,0.000672752557543,0.0031373347424598968
ARHGEF2,2.0,32.0,1.08204446394,0.000673526299793,0.0031375583987101065
MTHFS,2.0,10.0,1.8656459587,0.000675774667334,0.0031446435811484834
CDK16,2.0,9.0,1.92205961759,0.000678401048648,0.0031512198746293765
PIK3CA,2.0,50.0,0.951219993147,0.000678645779153,0.0031512198746293765
BAIAP2L1,2.0,13.0,1.61434784808,0.000682390241913,0.0031652070984855346
UVRAG,2.0,20.0,1.31017440709,0.000685194604897,0.003174808442624574
ACBD3,2.0,22.0,1.26838836487,0.000694262476887,0.0032133797511596329
FBXO3,2.0,7.0,2.11053298775,0.000695308042824,0.0032147771862338918
MARCKSL1,2.0,12.0,1.66573973813,0.00069691486427,0.0032187638442739692
UPF2,2.0,15.0,1.4725066108,0.000698333438453,0.0032218734839208557
ITPA,2.0,20.0,1.35936263533,0.000699881329688,0.0032255724821328396
DVL3,2.0,45.0,0.975620513867,0.000707550233403,0.0032574437263054742
CSK,2.0,6.0,2.34796350967,0.000710747668479,0.0032604777934529612
SNUPN,2.0,6.0,2.32954991101,0.000711980346292,0.0032604777934529612
AKAP17A,2.0,5.0,2.59666259464,0.000711893253694,0.0032604777934529612
DDX55,2.0,8.0,2.06981119032,0.000709620535762,0.0032604777934529612
DTD1,2.0,8.0,2.02076025229,0.000711146061906,0.0032604777934529612
CARKD,2.0,9.0,1.97942189639,0.000719697994803,0.0032915681809204851
USF1,2.0,17.0,1.44428187155,0.000720292273687,0.0032915681809204851
PGM1,2.0,10.0,1.84128049178,0.000721927518796,0.0032955571950948233
DENND4C,2.0,9.0,1.95296411291,0.000724265010778,0.0033027401282610821
GALNT1,2.0,8.0,2.05257513401,0.000729635717433,0.0033237251912162221
DSC2,2.0,12.0,1.71397036712,0.000732415292796,0.0033328750639563284
BICD1,2.0,14.0,1.57873850786,0.000734029444705,0.0033367079805052156
FN3K,2.0,15.0,1.53367733656,0.000737640924718,0.0033460878463316742
NOP2,2.0,25.0,1.21918402803,0.000736913883679,0.0033460878463316742
BCAT1,2.0,20.0,1.32850993841,0.000739323062558,0.0033502029344208875
CAMSAP3,2.0,8.0,2.06026099087,0.000741822192793,0.0033580076852817151
LRRC41,2.0,17.0,1.43608573026,0.000744542747811,0.003363279309078961
PHB2,2.0,25.0,1.23049699918,0.000744498909512,0.003363279309078961
PPOX,2.0,20.0,1.32772166254,0.00074602863034,0.0033664736627995228
HDLBP,2.0,8.0,2.07822927341,0.000751683256498,0.0033884533032763875
ABCF1,2.0,18.0,1.41027350979,0.000755825186913,0.0034035752948161301
UBA5,2.0,14.0,1.57964489056,0.000758136281511,0.0034104299115209529
CCDC91,2.0,16.0,1.48706428428,0.000765809197151,0.003441365030442233
CCDC25,-2.0,16.0,-1.46691409025,0.000766764697626,0.0034420807765698112
NUF2,2.0,15.0,1.51092006812,0.000767697962088,0.0034426953216870628
ZMYM4,2.0,17.0,1.40133488098,0.00077155184625,0.0034563923640810309
PCF11,2.0,16.0,1.45069960304,0.000774697552013,0.0034647123009496779
REPS1,-2.0,5.0,-2.48394327502,0.000775302933611,0.0034647123009496779
FDXR,2.0,13.0,1.63332252242,0.000775813441434,0.0034647123009496779
ACAD8,2.0,12.0,1.68836665937,0.000785965967207,0.0035064302128353349
BCL2L1,2.0,14.0,1.56188777815,0.00079106549852,0.0035243897834765846
FOLR1,2.0,15.0,1.46940465655,0.000791622132722,0.0035243897834765846
TBC1D10A,2.0,5.0,2.46684777303,0.000803747273666,0.0035699102867010838
SUN2,2.0,7.0,2.15952605582,0.000802780999806,0.0035699102867010838
CHMP6,2.0,16.0,1.44961814927,0.000804323992424,0.0035699102867010838
M6PR,2.0,20.0,1.34455586663,0.000809598817468,0.0035896366029893436
SLC20A2,2.0,11.0,1.72853685612,0.000820900256261,0.003636016196531539
CDR2L,2.0,15.0,1.48612777243,0.000843048312088,0.0037302946296371552
HINT3,2.0,5.0,2.48391032901,0.000863827902242,0.0038183313102182065
RIOK1,2.0,18.0,1.42571610121,0.000866339965656,0.0038255236685706025
TIMM44,2.0,7.0,2.11692364061,0.000890474569352,0.003928083227865955
KIAA1522,2.0,13.0,1.63108796098,0.000894055113869,0.003939857550717356
KPNA3,-2.0,8.0,-2.02134855251,0.000897142415681,0.0039494365203553193
TRIM26,2.0,16.0,1.44228386376,0.000900739442439,0.0039612376497094506
TOMM40,2.0,7.0,2.16030537903,0.000902489581323,0.0039649008740447276
MRE11A,2.0,12.0,1.7065265872,0.000917010288647,0.0040246045460120153
RNF25,2.0,5.0,2.54606549325,0.000919166879811,0.0040299781150314254
NUPL2,2.0,6.0,2.27845539556,0.000924016876091,0.0040471377460384282
CLPB,2.0,18.0,1.38163586862,0.000932994727696,0.0040823240969943631
GNL2,2.0,21.0,1.29274079168,0.000934841379272,0.0040862682331586735
ENGASE,2.0,9.0,1.87682279036,0.000935884974719,0.0040866977229407587
S100A16,2.0,32.0,1.03652780013,0.000938062450047,0.0040920726251804131
EIF4A3,2.0,15.0,1.49253812981,0.000939749322782,0.0040952987120825724
AGPS,2.0,17.0,1.40096799745,0.000944258402358,0.004110804706336635
ATP5A1,-2.0,6.0,-2.27780836987,0.00094875779532,0.0041262373734077358
SDF4,2.0,8.0,2.03840903141,0.000952052073869,0.0041345866028956848
POGLUT1,2.0,9.0,1.91197549605,0.000952590390119,0.0041345866028956848
MED28,2.0,6.0,2.29900979585,0.000957564253312,0.0041520062859251843
ILF3,2.0,20.0,1.30609780906,0.000959346810524,0.0041555673966887016
TBCD,2.0,16.0,1.40963466646,0.000961983938583,0.0041628193858815046
KANK1,2.0,7.0,2.12523265652,0.000966791948653,0.0041794415940248891
HMGCS1,2.0,9.0,1.87719505061,0.000969813492734,0.0041868565017555356
TRIM28,2.0,5.0,2.52608827689,0.000970444185695,0.0041868565017555356
GMPR,2.0,24.0,1.20575866995,0.0009736129067,0.0041963395769349481
HID1,2.0,15.0,1.47932397066,0.000981527570861,0.0042220335212263399
CTBP2,2.0,12.0,1.68841936801,0.000980620208367,0.0042220335212263399
CNOT4,2.0,19.0,1.31807888099,0.000984771740538,0.0042317775689318946
EIF4A2,2.0,45.0,0.958416159584,0.000997369403805,0.0042816563382797454
C16orf58,2.0,5.0,2.52732059304,0.00103640909738,0.0044448378253872534
PTPRA,2.0,20.0,1.31836012489,0.00103875817681,0.004450497124213507
BOP1,2.0,82.0,0.762458616792,0.00104574399755,0.0044759913875348761
TMEM68,2.0,22.0,1.24748763484,0.0010580453903,0.004524164413735236
DOCK6,2.0,16.0,1.45652928288,0.00106288216897,0.0045403553522382345
MECP2,2.0,15.0,1.49150722276,0.00107772963922,0.0045992351730974376
ARHGEF12,2.0,5.0,2.50106648831,0.00108892399983,0.0046424245081676295
ATXN10,-2.0,14.0,-1.53489199623,0.00109747386331,0.0046742655281509973
PHYH,2.0,9.0,1.85985497802,0.00110301319973,0.0046932343134265565
RECQL5,2.0,16.0,1.41187141857,0.00111845666664,0.0047542656537893843
MAVS,2.0,16.0,1.45073939144,0.00112162755132,0.0047630608097994605
PMVK,2.0,28.0,1.09572619097,0.00112409701245,0.0047641876321660604
RRP1B,2.0,8.0,1.96992862373,0.00112328509039,0.0047641876321660604
TARSL2,2.0,18.0,1.33785409789,0.00114495263924,0.0048478259152324194
MOSPD2,2.0,5.0,2.42067916269,0.00114761470107,0.0048495976077594562
ARL6IP4,2.0,8.0,1.9789906967,0.00114726183769,0.0048495976077594562
TRMT11,2.0,5.0,2.46140006712,0.00115149453261,0.0048612410785713158
SOD1,2.0,6.0,2.25514204626,0.00117133366476,0.00494017115390689
BRD1,-2.0,18.0,-1.34719706392,0.00117368120479,0.0049452474154866597
OGFR,2.0,27.0,1.10550943025,0.0011891284072,0.0050054548240888973
EIF2AK4,-2.0,5.0,-2.430541771,0.00119328469636,0.0050180639517128107
HDDC3,2.0,13.0,1.51911186987,0.00121648083919,0.0051106381611577059
PPP6R1,2.0,9.0,1.86591572105,0.00122031271984,0.0051217591144480127
ADI1,2.0,9.0,1.83247661692,0.00125366047121,0.0052566190272087974
NCAPG2,2.0,21.0,1.26037892815,0.00125924004141,0.0052748979641723589
FAM175B,2.0,11.0,1.71754218889,0.00128339063534,0.005367348834152315
EIF5,2.0,6.0,2.20512797124,0.00128379335982,0.005367348834152315
ACAD8,-2.0,6.0,-2.22709964292,0.0013043606231,0.0054428098201373433
PSMD2,2.0,48.0,0.917397869162,0.00130371456502,0.0054428098201373433
HOOK3,2.0,16.0,1.40226704204,0.00131479875318,0.0054810752266189382
CAPZB,2.0,6.0,2.23656877186,0.00132490085887,0.0055178674497866542
CDC42EP4,2.0,13.0,1.56848133808,0.00133600860608,0.0055587730549206942
ITFG3,2.0,6.0,2.22581162807,0.00134067513677,0.0055728255925531064
OSBPL11,2.0,14.0,1.46119924341,0.00134767567694,0.0055965436613172907
MRPL13,2.0,83.0,0.744369935649,0.0013525084451,0.0056076942074324738
RICTOR,2.0,12.0,1.61454975025,0.00135295513725,0.0056076942074324738
WDR70,2.0,11.0,1.68137491592,0.00135830690248,0.0056244834668948739
SLBP,2.0,11.0,1.69579463915,0.00136158052124,0.0056278524993549055
IL1RAP,2.0,42.0,0.956709316405,0.00136172419947,0.0056278524993549055
ADNP,2.0,25.0,1.12121409062,0.00137643117409,0.0056832014953013751
TXLNA,2.0,11.0,1.6903028706,0.00138966290732,0.005723225108159531
DCAF8,2.0,22.0,1.19744886785,0.00139009631357,0.005723225108159531
NUDCD2,2.0,5.0,2.4556924185,0.00138916052841,0.005723225108159531
C19orf10,2.0,5.0,2.43623544711,0.00140994533003,0.0057994230844010414
MEPCE,2.0,13.0,1.54867740491,0.00141451112032,0.0058126725980281796
CMC2,-2.0,5.0,-2.41184034651,0.00141736654212,0.005814801337070229
PBXIP1,2.0,28.0,1.07483430267,0.00141771931744,0.005814801337070229
F11R,2.0,21.0,1.23716055519,0.00142379159833,0.0058341716394144042
GPR89A,2.0,31.0,1.04512561105,0.00142569383743,0.0058364341469990429
KLKB1,-2.0,8.0,-1.93637473841,0.00142915935041,0.0058450859714445792
AK4,2.0,11.0,1.67964026835,0.00143657551938,0.0058698638660310658
EXOC6B,2.0,5.0,2.28830526062,0.00143984175437,0.0058721093435398783
ACOX1,2.0,16.0,1.3748841666,0.00143872745986,0.0058721093435398783
RBM33,2.0,22.0,1.16892010704,0.00145364212252,0.0059228038601856796
SLC33A1,2.0,30.0,1.08013436377,0.00145892970592,0.0059387505825584637
NENF,2.0,15.0,1.44785516241,0.00146989972657,0.0059777765926345011
CTBS,2.0,8.0,1.90508146635,0.00148824292613,0.0060466862496961456
SSR1,2.0,21.0,1.24913972799,0.00149445979477,0.0060662438429815975
IDH1,2.0,5.0,2.46418334403,0.00150200492142,0.0060911512901454462
RAN,2.0,7.0,2.04879136602,0.00151307744248,0.0061188342224899779
MAPKAPK2,2.0,16.0,1.39432298807,0.00151299140997,0.0061188342224899779
NOP56,2.0,20.0,1.27766670815,0.00151159921608,0.0061188342224899779
HNRNPUL2,2.0,6.0,2.24966511522,0.00155257307838,0.0062668285881024638
MFSD6,2.0,10.0,1.73085580073,0.00155217173688,0.0062668285881024638
CSDE1,2.0,5.0,2.45379855662,0.00156577847688,0.0063142354062911254
AARS2,2.0,10.0,1.72345270604,0.00157058123299,0.0063277005314145559
PRKACB,2.0,9.0,1.81727403438,0.00158402083413,0.00636997401481637
CERS2,2.0,37.0,0.954908661397,0.0015826981363,0.00636997401481637
GPRC5C,2.0,11.0,1.652503385,0.00158714170446,0.0063765925542587218
LETM1,2.0,15.0,1.43294412243,0.00159186292995,0.0063896225126903287
TAOK1,2.0,8.0,1.92948493854,0.0015958731582,0.0063977940095351505
CSNK1D,2.0,11.0,1.62150648526,0.00159685860196,0.0063977940095351505
NFIX,2.0,29.0,1.07080178044,0.00160462335037,0.0064229506885781374
TROVE2,2.0,19.0,1.28957421438,0.00161782518589,0.006469804143005682
TTC4,2.0,11.0,1.65038154797,0.00163354244632,0.0065266210678738617
CRTC1,2.0,12.0,1.56103254302,0.00163522583498,0.0065273142055648978
HNRNPL,2.0,20.0,1.26073549954,0.00165930792926,0.0066173322676884106
SP3,2.0,11.0,1.60818666538,0.00166791682849,0.0066455340548992776
DHX9,2.0,22.0,1.18255706553,0.00167232007072,0.0066569426019674801
CLPTM1L,2.0,31.0,1.01483086833,0.00167476202733,0.0066605301233923662
SETD1A,2.0,5.0,2.40009425629,0.00168779970382,0.0067062115069824917
FNBP1L,2.0,6.0,2.2030515483,0.00169908520277,0.0067448533806883622
ATF2,2.0,8.0,1.92909795669,0.0017031204345,0.0067546693929592793
ARFGEF2,2.0,21.0,1.1972334445,0.00171093964234,0.0067794611125998865
TBC1D10B,2.0,6.0,2.20906552913,0.00173944808003,0.0068798115736361225
ALG11,-2.0,7.0,-2.0471186572,0.00173803377459,0.0068798115736361225
ZCCHC17,2.0,11.0,1.61158719256,0.00176326331709,0.0069676300912154803
VPS26B,-2.0,6.0,-2.18761041104,0.00176563520115,0.0069706310270194671
RAB7A,2.0,13.0,1.53762902988,0.00176997309566,0.0069813811063313622
NEK7,2.0,19.0,1.27321416904,0.00177820953038,0.0070074747491466541
BIRC2,2.0,10.0,1.7112667736,0.00179288250507,0.0070588625404641578
FAF1,2.0,12.0,1.58451183983,0.00179583192078,0.0070640413043944715
IDI1,2.0,21.0,1.1919243289,0.00179793114857,0.0070658694138943205
NUDT9,-2.0,5.0,-2.39542848626,0.00180177666712,0.0070745508918814252
ERF,2.0,5.0,2.35275332729,0.00180356800235,0.0070751583249922543
SMG9,2.0,9.0,1.81480915821,0.00182159185862,0.0071264629907854902
C1orf131,2.0,19.0,1.2521208499,0.00182127476297,0.0071264629907854902
SSSCA1,2.0,7.0,2.01502093454,0.0018196408296,0.0071264629907854902
KCTD1,2.0,11.0,1.59302282353,0.00182603452377,0.0071373844902747376
ZSWIM8,2.0,10.0,1.72146024071,0.00182839791825,0.0071401663961882149
RBKS,2.0,7.0,2.02739104081,0.00183077809692,0.0071430087662274636
ERGIC1,2.0,7.0,2.06177020814,0.00184770040055,0.0072025327606623762
GTF2E2,-2.0,11.0,-1.60749533159,0.0018635224376,0.0072576644123731517
AKAP13,2.0,15.0,1.33816027967,0.00187252282844,0.007286153183947406
C19orf66,2.0,17.0,1.31543744989,0.001905149713,0.0074064408357054478
C6orf211,2.0,5.0,2.37809340379,0.00192469974338,0.0074757205666063642
IKBKB,2.0,18.0,1.27923195162,0.00193878067367,0.0075236524706288315
PDPK1,2.0,6.0,2.17492860033,0.00194862478183,0.0075515725119862905
PLA2G4A,2.0,20.0,1.23998992149,0.00194946910094,0.0075515725119862905
METTL3,2.0,8.0,1.86133182902,0.00196708615674,0.0076129932458347581
CHMP4C,2.0,19.0,1.26025151614,0.00197053765755,0.0076195297795832416
PCBD1,2.0,7.0,2.01370491635,0.00199061259395,0.0076846309345981493
HSP90B1,2.0,7.0,2.01349032712,0.00199092913411,0.0076846309345981493
NIT1,2.0,21.0,1.17349128894,0.00199814587986,0.0077056062788975425
D2HGDH,2.0,6.0,2.17907695882,0.00200477454004,0.0077242783748552321
DDT,2.0,5.0,2.33251067642,0.00201083165854,0.0077407170613272309
PTP4A3,2.0,66.0,0.804290121697,0.00205295716459,0.0078958485965610718
HDGF,2.0,24.0,1.1134262804,0.00205729231158,0.0078984677291113227
UBL4A,2.0,15.0,1.41387210599,0.00205596241696,0.0078984677291113227
PPL,2.0,5.0,2.38915342582,0.00206377963452,0.0079163437089942428
MATN2,2.0,54.0,0.797673302589,0.00206564796009,0.0079164859321619787
CS,2.0,5.0,2.35787556513,0.00208154824283,0.0079703570006549544
SRFBP1,2.0,5.0,2.29348066963,0.0020996008386,0.0080323667480432358
AK3,-2.0,8.0,-1.89204398914,0.00210530249321,0.008047058070870073
MTIF2,2.0,8.0,1.87423185261,0.00211710376989,0.0080687520044564285
DIS3,2.0,8.0,1.8790009316,0.00211767812281,0.0080687520044564285
PIK3R2,2.0,12.0,1.52078560871,0.00211745993993,0.0080687520044564285
RNF121,2.0,9.0,1.69077153216,0.00211844402615,0.0080687520044564285
TAX1BP1,2.0,7.0,1.9818048907,0.0021367177281,0.0081311890304389262
ARHGEF18,2.0,8.0,1.82923228661,0.00214827278202,0.0081679711844165996
CAPN5,2.0,24.0,1.12054860349,0.00216438696498,0.0082220077764505982
MAPK13,2.0,11.0,1.59610282888,0.00217199663117,0.0082436711470957099
RIPK1,2.0,22.0,1.177133788,0.0021847821464,0.0082849238762066346
GNB1L,2.0,6.0,2.15289728478,0.00218829757425,0.0082909819574871219
EPHB4,2.0,8.0,1.7899916039,0.00219814445388,0.0083209969125571746
LRRC16A,2.0,22.0,1.17242991818,0.00220052747023,0.008322729880856989
ACTR3B,2.0,19.0,1.2357030618,0.00221015076588,0.0083518197210821991
HSD17B10,2.0,6.0,2.1553872128,0.00221567342231,0.0083580769673933328
CAPZA2,2.0,16.0,1.35383115114,0.00221424620993,0.0083580769673933328
SLC25A13,2.0,13.0,1.49400669382,0.00222569389682,0.0083885568578454528
C12orf5,2.0,28.0,1.03321919756,0.00223810035721,0.0084279685054299107
SENP8,2.0,7.0,1.97225585896,0.00224370559328,0.0084287278467434536
CEP170,2.0,23.0,1.13116138172,0.00224415122637,0.0084287278467434536
TTLL12,-2.0,10.0,-1.70308719759,0.00224314960279,0.0084287278467434536
POGZ,2.0,38.0,0.890035921116,0.00225413392794,0.0084588723702297853
PGS1,2.0,13.0,1.48304911813,0.00226613766261,0.008496542164333043
DHFR,-2.0,5.0,-2.29056867764,0.00227494184506,0.0085221608286080233
HEXB,-2.0,11.0,-1.6079021234,0.00228044227426,0.008535369655088958
C1orf123,2.0,12.0,1.53421863968,0.00231559192643,0.0086594324376879223
RAB34,2.0,8.0,1.85920741441,0.00237704326676,0.0088815540554756239
KIAA2013,2.0,7.0,2.00819103834,0.00238072274067,0.008887014494703048
MPI,2.0,6.0,2.14987838498,0.00238261619231,0.008887014494703048
SPTBN1,2.0,9.0,1.75597177005,0.00240760905722,0.0089724947882287992
MLLT4,-2.0,10.0,-1.65930111976,0.00245130616236,0.0091274733332159259
KRAS,2.0,20.0,1.20257562788,0.00246702690378,0.0091781043933158064
ALDH1A3,2.0,18.0,1.25150394395,0.00246987916827,0.0091808148275457756
