gene,set
ITPR1,ETS1
IWS1,ETS1
IZUMO1,ETS1
JMJD4,ETS1
JOSD2,ETS1
JRK,ETS1
JTB,ETS1
KAT5,ETS1
KATNB1,ETS1
KBTBD4,ETS1
KBTBD6,ETS1
KBTBD7,ETS1
KBTBD8,ETS1
KCNK15,ETS1
KCTD10,ETS1
KCTD21,ETS1
KCTD5,ETS1
KIAA0020,ETS1
KIAA0141,ETS1
KIAA0195,ETS1
KIAA0317,ETS1
KIAA0391,ETS1
KIAA0907,ETS1
KIAA0913,ETS1
KIAA0947,ETS1
KIAA1009,ETS1
KIAA1191,ETS1
KIAA1407,ETS1
KIAA1429,ETS1
KIAA1737,ETS1
KIAA1967,ETS1
KIF11,ETS1
KIF15,ETS1
KIF20A,ETS1
KLHDC3,ETS1
KLHL18,ETS1
KLHL20,ETS1
KLHL24,ETS1
KPNA1,ETS1
KPTN,ETS1
KRR1,ETS1
KRTCAP2,ETS1
LACE1,ETS1
LAMP1,ETS1
LARGE,ETS1
LARP7,ETS1
LARS,ETS1
LAS1L,ETS1
LCK,ETS1
LCMT1,ETS1
LCORL,ETS1
LEMD2,ETS1
LENG8,ETS1
LEO1,ETS1
LETM1,ETS1
LGALS2,ETS1
LIG1,ETS1
LIN37,ETS1
LIPC,ETS1
LLPH,ETS1
LMAN2,ETS1
LMNB2,ETS1
LMTK3,ETS1
LNP1,ETS1
LOC100133612,ETS1
LOC113230,ETS1
LOC147727,ETS1
LOC150568,ETS1
LOC253039,ETS1
LOC388796,ETS1
LONP1,ETS1
LPAL2,ETS1
LRFN3,ETS1
LRRC41,ETS1
LRRC47,ETS1
LRSAM1,ETS1
LRTM2,ETS1
LSG1,ETS1
LSM10,ETS1
LSM3,ETS1
LSM5,ETS1
LTA4H,ETS1
LTN1,ETS1
LUC7L,ETS1
LUC7L2,ETS1
LUC7L3,ETS1
LYRM7,ETS1
LYSMD1,ETS1
LYSMD2,ETS1
LZTR1,ETS1
M6PR,ETS1
MAD2L1BP,ETS1
MADCAM1,ETS1
MAEA,ETS1
MAF1,ETS1
MAGEF1,ETS1
MAGOH,ETS1
MAGOHB,ETS1
MALAT1,ETS1
MAP1LC3B,ETS1
MAP2K2,ETS1
MAP2K3,ETS1
MAP3K7,ETS1
MAPK1,ETS1
MAPK14,ETS1
MAPKAPK5,ETS1
MARCH7,ETS1
MARS,ETS1
MAX,ETS1
MBD1,ETS1
MBNL2,ETS1
MCART6,ETS1
MCM10,ETS1
MCM3,ETS1
MCRS1,ETS1
MCTS1,ETS1
MED11,ETS1
MED15,ETS1
MED18,ETS1
MED19,ETS1
MED23,ETS1
MED24,ETS1
MED27,ETS1
MED29,ETS1
MED4,ETS1
MED6,ETS1
MEN1,ETS1
METTL3,ETS1
METTL4,ETS1
MEX3A,ETS1
MFAP1,ETS1
MFAP3,ETS1
MFF,ETS1
MFN2,ETS1
MFNG,ETS1
MGAT5,ETS1
MGC16703,ETS1
MGC23270,ETS1
MGC2752,ETS1
MGRN1,ETS1
MGST3,ETS1
MIAT,ETS1
MKRN2,ETS1
MLL2,ETS1
MLL4,ETS1
MMACHC,ETS1
MMP3,ETS1
MMP9,ETS1
MPI,ETS1
MRFAP1,ETS1
MRFAP1L1,ETS1
MRPL1,ETS1
MRPL10,ETS1
MRPL11,ETS1
MRPL12,ETS1
MRPL13,ETS1
MRPL19,ETS1
MRPL20,ETS1
MRPL21,ETS1
MRPL24,ETS1
MRPL3,ETS1
MRPL30,ETS1
MRPL34,ETS1
MRPL42,ETS1
MRPL44,ETS1
MRPL47,ETS1
MRPL50,ETS1
MRPL53,ETS1
MRPL54,ETS1
MRPL9,ETS1
MRPS10,ETS1
MRPS11,ETS1
MRPS15,ETS1
MRPS16,ETS1
MRPS18B,ETS1
MRPS18C,ETS1
MRPS22,ETS1
MRPS23,ETS1
MRPS25,ETS1
MRPS28,ETS1
MRPS31,ETS1
MRPS33,ETS1
MRTO4,ETS1
MSH5,ETS1
MSX2,ETS1
MTIF2,ETS1
MTMR9,ETS1
MTOR,ETS1
MTR,ETS1
MTRF1,ETS1
MUDENG,ETS1
MUL1,ETS1
MUTED,ETS1
MUTYH,ETS1
MXI1,ETS1
MYB,ETS1
MYBL1,ETS1
MYL6B,ETS1
MYO1C,ETS1
MZF1,ETS1
N4BP2L2,ETS1
NACA,ETS1
NAF1,ETS1
NANOS2,ETS1
NAPB,ETS1
NAPG,ETS1
NARFL,ETS1
NARS,ETS1
NAT1,ETS1
NAT10,ETS1
NBPF1,ETS1
NBR1,ETS1
NBR2,ETS1
NCAPG,ETS1
NCBP1,ETS1
NCBP2,ETS1
NCDN,ETS1
NCLN,ETS1
NCRNA00095,ETS1
NCSTN,ETS1
NDUFA1,ETS1
NDUFA13,ETS1
NDUFA3,ETS1
NDUFA4,ETS1
NDUFA7,ETS1
NDUFA8,ETS1
NDUFA9,ETS1
NDUFAB1,ETS1
NDUFB10,ETS1
NDUFB11,ETS1
NDUFB3,ETS1
NDUFB7,ETS1
NDUFS2,ETS1
NDUFS7,ETS1
NDUFV1,ETS1
NEAT1,ETS1
NECAP1,ETS1
NECAP2,ETS1
NFATC2IP,ETS1
NFE2L2,ETS1
NFKB1,ETS1
NFKBIL1,ETS1
NFS1,ETS1
NFX1,ETS1
NFXL1,ETS1
NGDN,ETS1
NICN1,ETS1
NIP7,ETS1
NKIRAS1,ETS1
NKIRAS2,ETS1
NKTR,ETS1
NLGN1,ETS1
NME1,ETS1
NOC4L,ETS1
NOL12,ETS1
NOL6,ETS1
NOL7,ETS1
NOLC1,ETS1
NOP14,ETS1
NOS3,ETS1
NOSIP,ETS1
NOTUM,ETS1
NPAS2,ETS1
NR1H2,ETS1
NR2F1,ETS1
NR6A1,ETS1
NRD1,ETS1
NRP1,ETS1
NRXN2,ETS1
NSUN2,ETS1
NSUN5,ETS1
NTAN1,ETS1
NTHL1,ETS1
NUCB1,ETS1
NUDCD1,ETS1
NUDT9,ETS1
NUF2,ETS1
NUMA1,ETS1
NUP107,ETS1
NUP153,ETS1
NUP155,ETS1
NUP205,ETS1
NUP214,ETS1
NUP54,ETS1
NUP88,ETS1
NUPL1,ETS1
NUTF2,ETS1
NXT1,ETS1
OPA1,ETS1
ORAOV1,ETS1
ORC2,ETS1
ORMDL3,ETS1
OVCA2,ETS1
OXSR1,ETS1
P2RX5,ETS1
P4HA2,ETS1
PA2G4,ETS1
PABPC1,ETS1
PAFAH2,ETS1
PAK1IP1,ETS1
PANK3,ETS1
PANK4,ETS1
PAPOLA,ETS1
PARP1,ETS1
PARS2,ETS1
PCBP1,ETS1
PCBP2,ETS1
PCF11,ETS1
PCM1,ETS1
PCNP,ETS1
PCNXL2,ETS1
PCNXL3,ETS1
PDCD10,ETS1
PDCD11,ETS1
PDCD2,ETS1
PDE12,ETS1
PDE4DIP,ETS1
PDE6D,ETS1
PDGFRA,ETS1
PDLIM1,ETS1
PDSS2,ETS1
PDZK1IP1,ETS1
PEF1,ETS1
PEMT,ETS1
PES1,ETS1
PEX12,ETS1
PEX13,ETS1
PEX14,ETS1
PEX26,ETS1
PEX3,ETS1
PFDN5,ETS1
PFDN6,ETS1
PGBD4,ETS1
PGM2L1,ETS1
PHB,ETS1
PHF12,ETS1
PHF13,ETS1
PHF17,ETS1
PHF19,ETS1
PHF21A,ETS1
PHF23,ETS1
PHKB,ETS1
PI4KA,ETS1
PIGG,ETS1
PIGL,ETS1
PIGU,ETS1
PIH1D1,ETS1
PIH1D2,ETS1
PIK3C3,ETS1
PKHD1,ETS1
PLAA,ETS1
PLCG2,ETS1
PLD3,ETS1
PLEKHA1,ETS1
PLEKHA4,ETS1
PLOD3,ETS1
PMM2,ETS1
PNKD,ETS1
PNN,ETS1
PNPLA1,ETS1
PNPLA6,ETS1
PNPT1,ETS1
POLDIP2,ETS1
POLE3,ETS1
POLK,ETS1
POLQ,ETS1
POLR1B,ETS1
POLR2C,ETS1
POLR2E,ETS1
POLR2J2,ETS1
POLR2K,ETS1
POLR3F,ETS1
POLRMT,ETS1
POP4,ETS1
PPCDC,ETS1
PPIG,ETS1
PPIL2,ETS1
PPIL3,ETS1
PPIL4,ETS1
PPP1R10,ETS1
PPP1R11,ETS1
PPP1R12B,ETS1
PPP1R12C,ETS1
PPP1R13L,ETS1
PPP1R15B,ETS1
PPP1R7,ETS1
PPP2R2B,ETS1
PPP2R5B,ETS1
PPP2R5C,ETS1
PPP6C,ETS1
PPRC1,ETS1
PRAF2,ETS1
PRCC,ETS1
PRDX1,ETS1
PRKAB1,ETS1
PRKCG,ETS1
PRKCI,ETS1
PRKCSH,ETS1
PRKCZ,ETS1
PRKRIP1,ETS1
PRKRIR,ETS1
PRL,ETS1
PRMT6,ETS1
PRPF18,ETS1
PRPF19,ETS1
PRPF31,ETS1
PRPF4B,ETS1
PRPF6,ETS1
PRPSAP1,ETS1
PRR14,ETS1
PRSS1,ETS1
PRSS2,ETS1
PRUNE,ETS1
PSMA1,ETS1
PSMA2,ETS1
PSMB2,ETS1
PSMB3,ETS1
PSMB4,ETS1
PSMB5,ETS1
PSMB6,ETS1
PSMB7,ETS1
PSMC1,ETS1
PSMC3,ETS1
PSMC4,ETS1
PSMC5,ETS1
PSMD1,ETS1
PSMD11,ETS1
PSMD3,ETS1
PSMD4,ETS1
PSMD6,ETS1
PSMD7,ETS1
PSMD8,ETS1
PSME3,ETS1
PSMF1,ETS1
PTBP1,ETS1
PTCHD2,ETS1
PTDSS2,ETS1
PTMA,ETS1
PTPLB,ETS1
PTPN23,ETS1
PTRF,ETS1
PUF60,ETS1
PURB,ETS1
PUS3,ETS1
QRICH1,ETS1
QTRT1,ETS1
RAB18,ETS1
RAB1A,ETS1
RAB1B,ETS1
RAB30,ETS1
RAB3IP,ETS1
RAB5C,ETS1
RAB7A,ETS1
RAB7L1,ETS1
RAB8B,ETS1
RABAC1,ETS1
RABL3,ETS1
RACGAP1,ETS1
RAD1,ETS1
RAD18,ETS1
RAD52,ETS1
RALBP1,ETS1
RALGPS2,ETS1
RANBP10,ETS1
RANBP2,ETS1
RAP1GAP,ETS1
RARS,ETS1
RB1CC1,ETS1
RBBP5,ETS1
RBL1,ETS1
RBL2,ETS1
RBM22,ETS1
RBM25,ETS1
RBM28,ETS1
RBM3,ETS1
RBM39,ETS1
RBM41,ETS1
RBM42,ETS1
RBM47,ETS1
RBM5,ETS1
RBM6,ETS1
RBM8A,ETS1
RBMS1,ETS1
RC3H2,ETS1
RCSD1,ETS1
RDBP,ETS1
RDH11,ETS1
RDH14,ETS1
RER1,ETS1
RETSAT,ETS1
REXO1,ETS1
REXO4,ETS1
RG9MTD1,ETS1
RG9MTD2,ETS1
RHD,ETS1
RHOC,ETS1
RIC8B,ETS1
RIOK2,ETS1
RNASEH1,ETS1
RNASEH2A,ETS1
RNASEH2C,ETS1
RNF10,ETS1
RNF121,ETS1
RNF166,ETS1
RNF167,ETS1
RNMT,ETS1
RNU11,ETS1
RNU12,ETS1
RNU4ATAC,ETS1
RNU6ATAC,ETS1
ROBLD3,ETS1
ROBO3,ETS1
RORB,ETS1
RPA2,ETS1
RPF1,ETS1
RPIA,ETS1
RPL10A,ETS1
RPL11,ETS1
RPL12,ETS1
RPL13,ETS1
RPL13A,ETS1
RPL14,ETS1
RPL21,ETS1
RPL22,ETS1
RPL23,ETS1
RPL23A,ETS1
RPL24,ETS1
RPL26,ETS1
RPL26L1,ETS1
RPL27,ETS1
RPL29,ETS1
RPL3,ETS1
RPL32,ETS1
RPL32P3,ETS1
RPL34,ETS1
RPL36,ETS1
RPL37,ETS1
RPL38,ETS1
RPL5,ETS1
RPL6,ETS1
RPL7,ETS1
RPL7L1,ETS1
RPL8,ETS1
RPL9,ETS1
RPLP0,ETS1
RPLP2,ETS1
RPP14,ETS1
RPP30,ETS1
RPP40,ETS1
RPRD1B,ETS1
RPS11,ETS1
RPS12,ETS1
RPS13,ETS1
RPS14,ETS1
RPS15,ETS1
RPS15A,ETS1
RPS16,ETS1
RPS19,ETS1
RPS19BP1,ETS1
RPS20,ETS1
RPS21,ETS1
RPS23,ETS1
RPS25,ETS1
RPS26,ETS1
RPS27,ETS1
RPS3,ETS1
RPS3A,ETS1
RPS5,ETS1
RPS6,ETS1
RPS6KB2,ETS1
RPS7,ETS1
RPS9,ETS1
RQCD1,ETS1
RRAS,ETS1
RREB1,ETS1
RRM1,ETS1
RRP15,ETS1
RSBN1,ETS1
RTDR1,ETS1
RTEL1,ETS1
RTN2,ETS1
RTP3,ETS1
RTTN,ETS1
RUVBL1,ETS1
RWDD1,ETS1
RXRB,ETS1
S100PBP,ETS1
SAFB2,ETS1
SAP30,ETS1
SAP30BP,ETS1
SART1,ETS1
SART3,ETS1
SASS6,ETS1
SATB2,ETS1
SCAMP3,ETS1
SCAMP4,ETS1
SCAND1,ETS1
SCAND2,ETS1
SCARNA16,ETS1
SCARNA2,ETS1
SCFD2,ETS1
SCRIB,ETS1
SCYL3,ETS1
SDCCAG8,ETS1
SDF2L1,ETS1
SDF4,ETS1
SDHB,ETS1
SDHD,ETS1
SDR39U1,ETS1
SEC11C,ETS1
SEC13,ETS1
SEC22B,ETS1
SEC23IP,ETS1
SEC24C,ETS1
SEC61A1,ETS1
SEC61G,ETS1
SECISBP2,ETS1
SEL1L,ETS1
SELL,ETS1
SEMA3A,ETS1
SEPSECS,ETS1
SERBP1,ETS1
SERP1,ETS1
SETDB1,ETS1
SETMAR,ETS1
SF3A3,ETS1
SF3B14,ETS1
SF3B2,ETS1
SF3B4,ETS1
SF3B5,ETS1
SGK1,ETS1
SGTA,ETS1
SH2B1,ETS1
SH3BP5L,ETS1
SHFM1,ETS1
SHKBP1,ETS1
SIPA1L3,ETS1
SIRT2,ETS1
SIRT4,ETS1
SIRT6,ETS1
SKI,ETS1
SKIV2L2,ETS1
SKP2,ETS1
SLC17A7,ETS1
SLC1A4,ETS1
SLC25A1,ETS1
SLC25A19,ETS1
SLC25A32,ETS1
SLC25A44,ETS1
SLC26A3,ETS1
SLC27A4,ETS1
SLC30A6,ETS1
SLC30A9,ETS1
SLC33A1,ETS1
SLC35A1,ETS1
SLC35A5,ETS1
SLC35B1,ETS1
SLC35B4,ETS1
SLC35E1,ETS1
SLC38A7,ETS1
SLC38A9,ETS1
SLC3A1,ETS1
SLC7A6OS,ETS1
SLC7A9,ETS1
SLMAP,ETS1
SMARCAL1,ETS1
SMCR8,ETS1
SMEK2,ETS1
SMG7,ETS1
SMOX,ETS1
SMPD3,ETS1
SMUG1,ETS1
SNAPC3,ETS1
SNAPIN,ETS1
SNAR-D,ETS1
SNHG10,ETS1
SNHG11,ETS1
SNHG12,ETS1
SNHG3,ETS1
SNHG9,ETS1
SNIP1,ETS1
SNORD1C,ETS1
SNORD35B,ETS1
SNRNP200,ETS1
SNRPA1,ETS1
SNRPB,ETS1
SNRPB2,ETS1
SNRPC,ETS1
SNRPD1,ETS1
SNRPD3,ETS1
SNRPE,ETS1
SNW1,ETS1
SNX16,ETS1
SNX27,ETS1
SNX3,ETS1
SNX5,ETS1
SPAG8,ETS1
SPC25,ETS1
SPG7,ETS1
SPHK2,ETS1
SPIN2B,ETS1
SPNS1,ETS1
SPRY2,ETS1
SPTBN1,ETS1
SPTLC1,ETS1
SPTSSB,ETS1
SPTY2D1,ETS1
SRCAP,ETS1
SRFBP1,ETS1
SRP54,ETS1
SRPR,ETS1
SRPRB,ETS1
SRRM2,ETS1
SRSF7,ETS1
SSBP1,ETS1
SSNA1,ETS1
SSR2,ETS1
SSR3,ETS1
SSSCA1,ETS1
SSTR3,ETS1
SSU72,ETS1
ST3GAL2,ETS1
STAT5B,ETS1
STAU1,ETS1
STK11IP,ETS1
STK25,ETS1
STOML1,ETS1
STOML2,ETS1
STX16,ETS1
STX4,ETS1
STX5,ETS1
STXBP4,ETS1
STXBP5,ETS1
STYXL1,ETS1
SUB1,ETS1
SUCLG1,ETS1
SUGT1,ETS1
SUN5,ETS1
SUPT4H1,ETS1
SUPT5H,ETS1
SUPT7L,ETS1
SUPV3L1,ETS1
SURF6,ETS1
SYMPK,ETS1
SYS1,ETS1
SYT11,ETS1
SYT13,ETS1
SYT3,ETS1
SYT5,ETS1
TADA3,ETS1
TAF11,ETS1
TAF12,ETS1
TAF5,ETS1
TAF9,ETS1
TARBP2,ETS1
TBC1D23,ETS1
TBL3,ETS1
TBP,ETS1
TBPL1,ETS1
TBRG4,ETS1
TBX6,ETS1
TBXA2R,ETS1
TCEA2,ETS1
TCEA3,ETS1
TCEAL1,ETS1
TCEB1,ETS1
TCP1,ETS1
TDG,ETS1
TEP1,ETS1
TERF2,ETS1
TFAP2A,ETS1
TFAP4,ETS1
TFB2M,ETS1
TFEB,ETS1
TFIP11,ETS1
TGDS,ETS1
TGFBR2,ETS1
THAP1,ETS1
THAP11,ETS1
THAP6,ETS1
THAP7,ETS1
THOC1,ETS1
THOC5,ETS1
THRAP3,ETS1
THYN1,ETS1
TIAL1,ETS1
TICAM1,ETS1
TIMM10,ETS1
TIMM13,ETS1
TIMM22,ETS1
TLCD1,ETS1
TLE4,ETS1
TM9SF4,ETS1
TMBIM6,ETS1
TMCO1,ETS1
TMED10,ETS1
TMED5,ETS1
TMED9,ETS1
TMEM101,ETS1
TMEM102,ETS1
TMEM109,ETS1
TMEM11,ETS1
TMEM111,ETS1
TMEM115,ETS1
TMEM143,ETS1
TMEM147,ETS1
TMEM160,ETS1
TMEM161B,ETS1
TMEM167B,ETS1
TMEM18,ETS1
TMEM208,ETS1
TMEM209,ETS1
TMEM214,ETS1
TMEM222,ETS1
TMEM33,ETS1
TMEM39A,ETS1
TMEM43,ETS1
TMEM48,ETS1
TMEM59,ETS1
TMEM79,ETS1
TMEM87A,ETS1
TMEM88,ETS1
TMEM99,ETS1
TMUB1,ETS1
TMUB2,ETS1
TNFRSF8,ETS1
TNFSF14,ETS1
TNPO2,ETS1
TNPO3,ETS1
TNS1,ETS1
TOMM22,ETS1
TOMM40,ETS1
TOMM5,ETS1
TOMM6,ETS1
TOMM7,ETS1
TOP3B,ETS1
TOR1A,ETS1
TOR1AIP1,ETS1
TOR1AIP2,ETS1
TOR2A,ETS1
TOX4,ETS1
TP53,ETS1
TPD52L2,ETS1
TPR,ETS1
TPRKB,ETS1
TRAF7,ETS1
TRAK2,ETS1
TRAPPC2,ETS1
TRAPPC3,ETS1
TRIAP1,ETS1
TRIM41,ETS1
TRIM69,ETS1
TRIM9,ETS1
TRIP4,ETS1
TRMT1,ETS1
TRMT12,ETS1
TRMT2A,ETS1
TRMT6,ETS1
TRPC4AP,ETS1
TRUB1,ETS1
TSFM,ETS1
TSN,ETS1
TSNAX,ETS1
TSSC1,ETS1
TSSC4,ETS1
TSTA3,ETS1
TTBK1,ETS1
TTC1,ETS1
TTC14,ETS1
TTC30A,ETS1
TTC30B,ETS1
TTC31,ETS1
TTC32,ETS1
TTC33,ETS1
TTLL9,ETS1
TUBD1,ETS1
TUBGCP5,ETS1
TUFM,ETS1
TUT1,ETS1
TXNDC9,ETS1
TXNRD2,ETS1
U2AF1L4,ETS1
U2AF2,ETS1
UBA52,ETS1
UBAC1,ETS1
UBAP2,ETS1
UBE2D3,ETS1
UBE2L3,ETS1
UBE2Q1,ETS1
UBE2V1,ETS1
UBE4A,ETS1
UBL5,ETS1
UBL7,ETS1
UBQLN1,ETS1
UBR1,ETS1
UBR2,ETS1
UBR4,ETS1
UBXN1,ETS1
UBXN4,ETS1
UBXN6,ETS1
UBXN8,ETS1
UCHL5,ETS1
UCKL1,ETS1
UFD1L,ETS1
UNK,ETS1
UNKL,ETS1
UQCC,ETS1
UQCRC2,ETS1
UQCRFS1,ETS1
URB1,ETS1
URM1,ETS1
UROD,ETS1
USF1,ETS1
USP16,ETS1
USP3,ETS1
USP30,ETS1
USP31,ETS1
USP48,ETS1
USP5,ETS1
USP8,ETS1
USPL1,ETS1
UTP11L,ETS1
UTP23,ETS1
UTP3,ETS1
VAPA,ETS1
VARS,ETS1
VCPIP1,ETS1
VEZT,ETS1
VKORC1,ETS1
VPRBP,ETS1
VPS25,ETS1
VPS41,ETS1
VPS4B,ETS1
VPS52,ETS1
VPS72,ETS1
VRK1,ETS1
VTA1,ETS1
VTI1A,ETS1
VTI1B,ETS1
VWF,ETS1
WAPAL,ETS1
WAS,ETS1
WASF1,ETS1
WBP2,ETS1
WBP4,ETS1
WDFY2,ETS1
WDR12,ETS1
WDR18,ETS1
WDR24,ETS1
WDR34,ETS1
WDR36,ETS1
WDR4,ETS1
WDR43,ETS1
WDR53,ETS1
WDR59,ETS1
WDR5B,ETS1
WDR7,ETS1
WDR74,ETS1
WDR75,ETS1
WDR77,ETS1
WDR85,ETS1
WDR89,ETS1
WDR92,ETS1
WHSC2,ETS1
WNK1,ETS1
WRNIP1,ETS1
WTAP,ETS1
XKR7,ETS1
XPC,ETS1
XPOT,ETS1
XRCC5,ETS1
XRRA1,ETS1
YDJC,ETS1
YKT6,ETS1
YME1L1,ETS1
YPEL1,ETS1
YTHDC1,ETS1
YWHAG,ETS1
ZAP70,ETS1
ZBTB11,ETS1
ZBTB17,ETS1
ZBTB20,ETS1
ZBTB33,ETS1
ZBTB38,ETS1
ZBTB4,ETS1
ZBTB45,ETS1
ZBTB6,ETS1
ZBTB7B,ETS1
ZBTB8OS,ETS1
ZC3H10,ETS1
ZC3H11A,ETS1
ZC3H15,ETS1
ZC3HC1,ETS1
ZCCHC4,ETS1
ZCCHC8,ETS1
ZCCHC9,ETS1
ZCWPW1,ETS1
ZDHHC14,ETS1
ZFC3H1,ETS1
ZFP1,ETS1
ZFP14,ETS1
ZFP3,ETS1
ZFP91,ETS1
ZFYVE1,ETS1
ZFYVE20,ETS1
ZFYVE28,ETS1
ZKSCAN4,ETS1
ZMAT2,ETS1
ZMAT3,ETS1
ZMAT5,ETS1
ZMPSTE24,ETS1
ZMYND8,ETS1
ZNF114,ETS1
ZNF133,ETS1
ZNF134,ETS1
ZNF14,ETS1
ZNF143,ETS1
ZNF148,ETS1
ZNF165,ETS1
ZNF169,ETS1
ZNF17,ETS1
ZNF175,ETS1
ZNF180,ETS1
ZNF181,ETS1
ZNF19,ETS1
ZNF2,ETS1
ZNF200,ETS1
ZNF211,ETS1
ZNF213,ETS1
ZNF219,ETS1
ZNF224,ETS1
ZNF225,ETS1
ZNF226,ETS1
ZNF227,ETS1
ZNF230,ETS1
ZNF235,ETS1
ZNF24,ETS1
ZNF25,ETS1
ZNF251,ETS1
ZNF256,ETS1
ZNF26,ETS1
ZNF260,ETS1
ZNF268,ETS1
ZNF277,ETS1
ZNF280B,ETS1
ZNF287,ETS1
ZNF3,ETS1
ZNF302,ETS1
ZNF304,ETS1
ZNF317,ETS1
ZNF32,ETS1
ZNF331,ETS1
ZNF335,ETS1
ZNF337,ETS1
ZNF33B,ETS1
ZNF343,ETS1
ZNF345,ETS1
ZNF354A,ETS1
ZNF354B,ETS1
ZNF37A,ETS1
ZNF384,ETS1
ZNF394,ETS1
ZNF408,ETS1
ZNF416,ETS1
ZNF417,ETS1
ZNF419,ETS1
ZNF420,ETS1
ZNF434,ETS1
ZNF444,ETS1
ZNF446,ETS1
ZNF45,ETS1
ZNF451,ETS1
ZNF460,ETS1
ZNF473,ETS1
ZNF484,ETS1
ZNF498,ETS1
ZNF500,ETS1
ZNF513,ETS1
ZNF518A,ETS1
ZNF527,ETS1
ZNF529,ETS1
ZNF530,ETS1
ZNF542,ETS1
ZNF546,ETS1
ZNF548,ETS1
ZNF549,ETS1
ZNF550,ETS1
ZNF551,ETS1
ZNF552,ETS1
ZNF554,ETS1
ZNF565,ETS1
ZNF566,ETS1
ZNF567,ETS1
ZNF569,ETS1
ZNF570,ETS1
ZNF571,ETS1
ZNF573,ETS1
ZNF576,ETS1
ZNF580,ETS1
ZNF583,ETS1
ZNF584,ETS1
ZNF585B,ETS1
ZNF586,ETS1
ZNF587,ETS1
ZNF589,ETS1
ZNF599,ETS1
ZNF605,ETS1
ZNF613,ETS1
ZNF628,ETS1
ZNF646,ETS1
ZNF668,ETS1
ZNF682,ETS1
ZNF684,ETS1
ZNF688,ETS1
ZNF689,ETS1
ZNF691,ETS1
ZNF696,ETS1
ZNF74,ETS1
ZNF747,ETS1
ZNF749,ETS1
ZNF764,ETS1
ZNF773,ETS1
ZNF776,ETS1
ZNF782,ETS1
ZNF79,ETS1
ZNF790,ETS1
ZNF815,ETS1
ZNF837,ETS1
ZNF84,ETS1
ZNF846,ETS1
ZNF862,ETS1
ZNHIT2,ETS1
ZNHIT3,ETS1
ZNHIT6,ETS1
ZNRD1,ETS1
ZRANB2,ETS1
ZRANB3,ETS1
ZSCAN22,ETS1
ZUFSP,ETS1
ZW10,ETS1
ZYX,ETS1
ZZZ3,ETS1
CDKN2A,ETS2
TP53,ETS2
AGTR1,ETV4
ETS1,ETV4
EDN3,EVI1
EEF1B2,EVI1
CCK,EWSR1-FLI1
MIR124-1,EWSR1-FLI1
PBK,EWSR1-FLI1
PPM1A,EWSR1-FLI1
PPP1R12A,EWSR1-FLI1
DOT1L,EZH2
HOXA7,EZH2
SFRP1,EZH2
STIL,EZH2
TENC1,EZH2
TNS1,EZH2
TNXB,EZH2
CSF2RB,FLI1
ERG,FLI1
EZH2,FLI1
FLI1,FLI1
FOS,FLI1
GIMAP6,FLI1
GMFG,FLI1
GP6,FLI1
GP9,FLI1
HMOX1,FLI1
ID2,FLI1
LCP2,FLI1
PECAM1,FLI1
PPP1R16B,FLI1
TGFBR2,FLI1
WIPF1,FLI1
ACTA1,FOS
ACTL6A,FOS
AP2A1,FOS
BCAS3,FOS
CD40LG,FOS
CLU,FOS
CREM,FOS
CSTA,FOS
DCAF7,FOS
DDIT3,FOS
DNM2,FOS
EIF2AK3,FOS
FOSL1,FOS
IL1A,FOS
IL8,FOS
JUP,FOS
KATNB1,FOS
MMP1,FOS
MTMR4,FOS
MTOR,FOS
NQO1,FOS
NUMB,FOS
PGR,FOS
PRKACA,FOS
PRMT1,FOS
PRPF40A,FOS
RFWD3,FOS
RFX1,FOS
SHC1,FOS
SMAD7,FOS
STAR,FOS
STK40,FOS
STT3A,FOS
TCERG1,FOS
TOP2A,FOS
TP53,FOS
TRAF2,FOS
AAMP,FOS
AARS,FOS
ABCA11P,FOS
ABCB8,FOS
ABCC2,FOS
ABLIM3,FOS
ACOT8,FOS
ADAM9,FOS
AFF1,FOS
AGFG2,FOS
AGPAT1,FOS
AHNAK,FOS
AK2,FOS
AKAP8L,FOS
ALCAM,FOS
ALKBH7,FOS
AMDHD2,FOS
ANGPTL4,FOS
ANKHD1,FOS
ANKHD1-EIF4EBP3,FOS
ANKRD1,FOS
ANKRD16,FOS
ANKRD30BL,FOS
ANKRD39,FOS
ANP32A,FOS
ANP32E,FOS
ANXA1,FOS
ANXA2,FOS
AP3M2,FOS
APEX1,FOS
ARAF,FOS
ARHGAP19,FOS
ARHGAP22,FOS
ARHGAP24,FOS
ARID4A,FOS
ARL16,FOS
ARL6IP5,FOS
ARNTL,FOS
ARRDC4,FOS
ART4,FOS
ARVCF,FOS
ATP5B,FOS
ATP5G1,FOS
ATP6V0D1,FOS
ATP6V1G1,FOS
ATPIF1,FOS
ATXN1,FOS
AXL,FOS
AZI1,FOS
BAZ1B,FOS
BCAT1,FOS
BCL10,FOS
BEST3,FOS
BFSP1,FOS
BLOC1S3,FOS
BPGM,FOS
BTBD19,FOS
C11orf35,FOS
C11orf91,FOS
C13orf29,FOS
C15orf34,FOS
C15orf42,FOS
C17orf56,FOS
C17orf89,FOS
C19orf40,FOS
C19orf51,FOS
C19orf55,FOS
C19orf62,FOS
C1orf100,FOS
C1orf228,FOS
C21orf56,FOS
C21orf58,FOS
C22orf25,FOS
C2orf44,FOS
C2orf7,FOS
C6orf1,FOS
